wlan.frag,wlan.bssid,wlan.fc.subtype,wlan.duration,wlan.ta,wlan.fc.type,wlan.sa,frame.len,data.len,timestamp_c,wlan.ra,frame.number,wlan.da,class,wlan.seq
0,0,4,0,1,2,1,24,0,28105.9752,1,60,1,benign,24
0,0,4,0,1,2,1,24,0,28105.9755,1,61,1,benign,26
0,0,8,0,1,0,1,104,0,28107.09931,4,75,4,benign,49
0,0,8,44,0,2,0,86,0,28114.7857,1,122,1,benign,14
0,0,12,60,0,2,0,26,0,28114.88188,1,124,1,benign,0
0,0,12,60,0,2,0,26,0,28114.98812,1,128,1,benign,0
0,0,8,44,0,2,0,86,0,28115.002,1,130,1,benign,16
0,0,12,60,0,2,0,26,0,28115.18882,1,133,1,benign,0
0,0,8,44,0,2,0,86,0,28115.21483,1,135,1,benign,17
0,0,8,44,1,2,1,225,163,28118.33192,0,152,0,benign,32
0,0,12,60,0,2,0,26,0,28118.36318,1,154,1,benign,0
0,0,8,44,0,2,0,86,0,28118.42292,1,161,1,benign,73
0,0,8,44,1,2,1,225,163,28118.43395,0,163,0,benign,33
0,0,12,60,0,2,0,26,0,28118.46561,1,165,1,benign,0
0,0,8,44,1,2,1,226,164,28118.53622,0,167,0,benign,34
0,0,12,60,0,2,0,26,0,28118.56804,1,169,1,benign,0
0,0,8,44,0,2,0,86,0,28118.6254,1,171,1,benign,74
0,0,8,44,1,2,1,226,164,28118.63832,0,173,0,benign,35
0,0,12,60,0,2,0,26,0,28118.67046,1,175,1,benign,0
0,0,8,44,1,2,1,223,161,28118.74021,0,177,0,benign,36
0,0,12,60,0,2,0,26,0,28118.77287,1,179,1,benign,0
0,0,8,44,1,2,1,228,166,28121.90208,0,222,0,benign,75
0,0,12,60,0,2,0,26,0,28121.94742,1,232,1,benign,0
0,0,8,44,1,2,1,75,13,28121.95416,0,234,0,benign,76
0,0,8,44,1,2,1,227,165,28122.00414,0,237,0,benign,77
0,0,8,44,0,2,0,86,0,28122.03025,1,239,1,benign,98
0,0,8,44,0,2,0,86,0,28122.03047,1,240,1,benign,98
0,0,8,44,0,2,0,86,0,28122.03178,1,241,1,benign,98
0,0,8,44,1,2,1,227,165,28122.10604,0,243,0,benign,78
0,0,12,60,0,2,0,26,0,28122.15201,1,245,1,benign,0
0,0,8,44,1,2,1,228,166,28122.2083,0,247,0,benign,79
0,0,8,44,0,2,0,86,0,28122.23157,1,249,1,benign,99
0,0,12,60,0,2,0,26,0,28122.25434,1,251,1,benign,0
0,0,8,44,1,2,1,74,12,28122.25895,0,253,0,benign,80
0,0,8,44,1,2,1,74,12,28122.25922,0,254,0,benign,80
0,0,8,44,1,2,1,228,166,28122.31002,0,256,0,benign,81
0,0,12,60,0,2,0,26,0,28122.35682,1,258,1,benign,0
0,0,5,320,1,0,1,98,0,28122.79747,3,259,3,benign,213
0,0,5,320,1,0,1,98,0,28122.89205,3,260,3,benign,215
0,0,5,320,1,0,1,98,0,28122.89474,3,261,3,benign,215
0,0,8,44,1,2,1,227,165,28125.52323,0,279,0,benign,117
0,0,12,60,0,2,0,26,0,28125.53186,1,281,1,benign,0
0,0,8,44,0,2,0,86,0,28125.62487,1,287,1,benign,114
0,0,8,44,0,2,0,86,0,28125.62489,1,288,1,benign,114
0,0,8,44,1,2,1,227,165,28125.62491,0,290,0,benign,118
0,0,12,60,0,2,0,26,0,28125.6335,1,292,1,benign,0
0,0,8,44,1,2,1,229,167,28125.72718,0,294,0,benign,119
0,0,12,60,0,2,0,26,0,28125.7359,1,296,1,benign,0
0,0,8,44,0,2,0,86,0,28125.79631,1,298,1,benign,115
0,0,8,44,1,2,1,231,169,28125.82909,0,300,0,benign,120
0,0,12,60,0,2,0,26,0,28125.83831,1,302,1,benign,0
0,0,8,44,1,2,1,227,165,28125.93112,0,304,0,benign,121
0,0,12,60,0,2,0,26,0,28125.94084,1,306,1,benign,0
0,0,8,44,1,2,1,229,167,28129.04171,0,321,0,benign,158
0,0,12,60,0,2,0,26,0,28129.11508,1,323,1,benign,0
0,0,8,44,1,2,1,232,170,28129.1437,0,325,0,benign,159
0,0,12,60,0,2,0,26,0,28129.21745,1,327,1,benign,0
0,0,8,44,1,2,1,231,169,28129.24573,0,329,0,benign,160
0,0,12,60,0,2,0,26,0,28129.31987,1,333,1,benign,0
0,0,8,44,1,2,1,230,168,28129.34771,0,335,0,benign,161
0,0,12,60,0,2,0,26,0,28129.42258,1,336,1,benign,0
0,0,8,44,1,2,1,228,166,28129.44974,0,338,0,benign,162
0,0,12,60,0,2,0,26,0,28129.52472,1,340,1,benign,0
0,0,12,60,0,2,0,26,0,28129.52595,1,342,1,benign,0
0,0,8,320,1,2,1,230,168,28132.25886,0,352,0,benign,196
0,0,12,60,0,2,0,26,0,28132.59659,1,359,1,benign,0
0,0,8,44,0,2,0,72,10,28132.62518,1,361,1,benign,142
0,0,8,44,0,2,0,86,0,28132.65582,1,363,1,benign,143
0,0,8,44,1,2,1,231,169,28132.66261,0,365,0,benign,201
0,0,12,60,0,2,0,26,0,28132.69902,1,367,1,benign,0
0,0,8,44,1,2,1,231,169,28132.76471,0,369,0,benign,202
0,0,12,60,0,2,0,26,0,28132.80151,1,371,1,benign,0
0,0,8,44,1,2,1,229,167,28132.8668,0,373,0,benign,203
0,0,8,44,1,2,1,232,170,28132.974,0,375,0,benign,204
0,0,12,60,0,2,0,26,0,28133.00633,1,377,1,benign,0
0,0,8,44,1,2,1,75,13,28133.01929,0,379,0,benign,205
0,0,8,44,1,2,1,230,168,28133.07055,0,381,0,benign,206
0,0,8,320,1,2,1,230,168,28133.58487,0,383,0,benign,211
0,0,8,320,1,2,1,230,168,28133.5873,0,384,0,benign,211
0,0,12,60,0,2,0,26,0,28136.18054,1,401,1,benign,0
0,0,8,44,1,2,1,230,168,28136.23341,0,403,0,benign,241
0,0,8,44,0,2,0,86,0,28136.2365,1,405,1,benign,152
0,0,12,60,0,2,0,26,0,28136.28297,1,407,1,benign,0
0,0,8,44,1,2,1,74,12,28136.28428,0,409,0,benign,242
0,0,8,44,1,2,1,231,169,28136.2845,0,411,0,benign,243
0,0,12,60,0,2,0,26,0,28136.38577,1,413,1,benign,0
